"Date.Time","Lat","Lon","Base"
"7/25/2014 22:58:00",40.7555,-73.9736,"B02682"
"9/27/2014 19:06:00",40.7358,-73.9931,"B02764"
"8/12/2014 20:54:00",40.7566,-73.9713,"B02617"
"8/26/2014 17:48:00",40.6465,-73.7898,"B02617"
"7/8/2014 19:56:00",40.7152,-74.016,"B02617"
"9/7/2014 16:10:00",40.7204,-74.0022,"B02682"
"4/25/2014 22:12:00",40.7304,-74.0019,"B02682"
"9/13/2014 20:24:00",40.7177,-74.0042,"B02598"
"9/13/2014 8:39:00",40.6879,-73.9955,"B02617"
"9/27/2014 11:35:00",40.6788,-73.9738,"B02617"
"9/2/2014 17:24:00",40.742,-74.0047,"B02617"
"8/1/2014 17:06:00",40.6765,-73.9719,"B02617"
"5/4/2014 11:49:00",40.6935,-73.9792,"B02682"
"4/25/2014 12:16:00",40.6922,-74.1768,"B02682"
"8/18/2014 11:30:00",40.7871,-73.9564,"B02617"
"7/7/2014 19:40:00",40.7349,-73.6738,"B02682"
"7/14/2014 15:29:00",40.7663,-73.9523,"B02682"
"9/3/2014 16:40:00",40.7277,-74.003,"B02764"
"4/13/2014 12:46:00",40.7447,-73.993,"B02682"
"5/8/2014 22:55:00",40.7224,-73.988,"B02682"
"6/19/2014 12:22:00",40.7107,-73.9581,"B02598"
"7/19/2014 0:29:00",40.727,-73.9828,"B02617"
"8/13/2014 12:08:00",40.6447,-73.7821,"B02512"
"7/29/2014 19:25:00",40.7422,-73.9839,"B02617"
"9/23/2014 23:28:00",40.7523,-73.9933,"B02598"
"5/12/2014 17:06:00",40.7437,-73.9966,"B02598"
"7/21/2014 18:21:00",40.7517,-73.9901,"B02598"
"4/19/2014 21:52:00",40.7682,-73.963,"B02512"
"5/17/2014 0:20:00",40.7297,-73.9576,"B02682"
"9/15/2014 6:24:00",40.7366,-73.9945,"B02598"
"9/16/2014 22:34:00",40.7751,-73.9634,"B02598"
"9/12/2014 15:35:00",40.747,-73.9908,"B02512"
"7/16/2014 18:00:00",40.7237,-73.9993,"B02617"
"9/13/2014 23:23:00",40.7633,-73.9696,"B02617"
"9/27/2014 15:44:00",40.7304,-73.881,"B02764"
"7/2/2014 21:42:00",40.7281,-73.991,"B02617"
"5/29/2014 15:36:00",40.7347,-73.9945,"B02682"
"9/26/2014 21:24:00",40.7194,-73.985,"B02682"
"8/20/2014 15:08:00",40.7658,-73.9669,"B02682"
"5/14/2014 16:24:00",40.7644,-73.9958,"B02682"
"9/8/2014 18:54:00",40.7153,-73.9445,"B02598"
"7/23/2014 7:36:00",40.7567,-73.9846,"B02617"
"6/29/2014 4:33:00",40.7596,-73.9955,"B02617"
"4/30/2014 10:12:00",40.792,-73.974,"B02682"
"6/11/2014 7:41:00",40.7502,-73.9947,"B02598"
"4/10/2014 18:32:00",40.7571,-73.9739,"B02598"
"7/1/2014 18:56:00",40.7572,-73.9847,"B02682"
"8/28/2014 19:10:00",40.7198,-74.0058,"B02617"
"8/31/2014 15:16:00",40.762,-73.9901,"B02682"
"9/30/2014 10:51:00",40.754,-73.9942,"B02598"
"8/30/2014 14:44:00",40.6751,-73.9567,"B02682"
"5/24/2014 15:33:00",40.7263,-73.9562,"B02682"
"8/29/2014 1:21:00",40.76,-73.9857,"B02764"
"6/7/2014 0:46:00",40.7205,-73.9843,"B02617"
"8/11/2014 14:20:00",40.7311,-73.9912,"B02598"
"8/23/2014 23:14:00",40.68,-73.9992,"B02617"
"7/16/2014 19:14:00",40.7766,-73.9464,"B02598"
"8/23/2014 23:56:00",40.7135,-73.9656,"B02598"
"8/28/2014 16:52:00",40.7892,-73.9701,"B02617"
"9/27/2014 10:57:00",40.7355,-73.9982,"B02598"
"7/8/2014 7:56:00",40.7805,-73.9858,"B02598"
"4/16/2014 1:49:00",40.6734,-73.966,"B02598"
"9/4/2014 14:34:00",40.7505,-73.9791,"B02682"
"6/9/2014 23:49:00",40.751,-73.9786,"B02617"
"6/18/2014 2:02:00",40.7254,-73.9949,"B02617"
"8/14/2014 10:36:00",40.721,-74.01,"B02682"
"7/14/2014 17:16:00",40.7507,-73.9795,"B02598"
"8/21/2014 13:18:00",40.7268,-73.9964,"B02617"
"7/20/2014 0:44:00",40.7609,-73.9836,"B02617"
"8/22/2014 2:17:00",40.7245,-73.9976,"B02598"
"6/22/2014 19:06:00",40.7974,-74.4787,"B02598"
"8/5/2014 14:22:00",40.724,-73.9981,"B02617"
"7/12/2014 5:03:00",40.7534,-73.9678,"B02617"
